ExpenseID,Date,Group,Expense,Category,Paid By,Amount ($),Split Type,Member,Share ($)
2026-03-06_16:02_india_bazaar_biryani,2026-03-06 16:02,iddaru,india bazaar biryani,🍕 Food & Drink,sharath,28.0,Equal split,sharath,14.0
2026-03-06_16:02_india_bazaar_biryani,2026-03-06 16:02,iddaru,india bazaar biryani,🍕 Food & Drink,sharath,28.0,Equal split,nikhil,14.0
"2025-10-04_00:00_cheese,_dosa_batter",2025-10-04 00:00,iddaru,"cheese, dosa batter",🛒 Groceries,sharath,16.0,Equal split,nikhil,16.0
2025-10-05_00:00_india_bazaar,2025-10-05 00:00,iddaru,india bazaar,🛒 Groceries,sharath,31.0,Equal split,nikhil,31.0
2025-12-14_00:00_DDF_Transactions,2025-12-14 00:00,iddaru,DDF Transactions,🛒 Groceries,sharath,512.0,Equal split,nikhil,512.0
"2025-10-12_00:00_chicken_gongura,hing",2025-10-12 00:00,iddaru,"chicken gongura,hing",🛒 Groceries,sharath,32.0,Equal split,nikhil,32.0
2025-10-18_00:00_geiko,2025-10-18 00:00,iddaru,geiko,🛒 Groceries,sharath,650.0,Equal split,nikhil,650.0
"2025-10-19_00:00_chicken_,cilantro",2025-10-19 00:00,iddaru,"chicken ,cilantro",🛒 Groceries,sharath,15.0,Equal split,nikhil,15.0
2025-10-22_00:00_curd,2025-10-22 00:00,iddaru,curd,🛒 Groceries,sharath,6.05,Equal split,sharath,3.02
2025-10-22_00:00_curd,2025-10-22 00:00,iddaru,curd,🛒 Groceries,sharath,6.05,Equal split,nikhil,3.02
2025-10-24_00:00_india_bazaar,2025-10-24 00:00,iddaru,india bazaar,🛒 Groceries,sharath,11.0,Equal split,nikhil,11.0
"2025-10-26_00:00_mutton,_mint",2025-10-26 00:00,iddaru,"mutton, mint",🛒 Groceries,sharath,24.5,Equal split,nikhil,24.5
2025-10-31_00:00_india_bazaar,2025-10-31 00:00,iddaru,india bazaar,🛒 Groceries,sharath,11.0,Equal split,nikhil,11.0
2025-11-07_00:00_india_bazaar,2025-11-07 00:00,iddaru,india bazaar,🛒 Groceries,sharath,12.0,Equal split,nikhil,12.0
"2025-11-08_00:00_chilly,_chicken",2025-11-08 00:00,iddaru,"chilly, chicken",🛒 Groceries,sharath,17.0,Equal split,nikhil,17.0
2025-11-11_00:00_india_bazaar,2025-11-11 00:00,iddaru,india bazaar,🛒 Groceries,sharath,30.0,Equal split,nikhil,30.0
2025-11-14_00:00_india_bazaar,2025-11-14 00:00,iddaru,india bazaar,🛒 Groceries,sharath,11.0,Equal split,nikhil,11.0
"2025-11-17_00:00_gongura_,_dal",2025-11-17 00:00,iddaru,"gongura , dal",🛒 Groceries,sharath,13.0,Equal split,nikhil,13.0
"2025-11-18_00:00_rice_bag,_curd",2025-11-18 00:00,iddaru,"rice bag, curd",🛒 Groceries,sharath,32.0,Equal split,sharath,16.0
"2025-11-18_00:00_rice_bag,_curd",2025-11-18 00:00,iddaru,"rice bag, curd",🛒 Groceries,sharath,32.0,Equal split,nikhil,16.0
2025-11-19_00:00_chicken,2025-11-19 00:00,iddaru,chicken,🛒 Groceries,sharath,8.0,Equal split,nikhil,8.0
2025-11-22_00:00_india_bazaar,2025-11-22 00:00,iddaru,india bazaar,🛒 Groceries,sharath,30.0,Equal split,nikhil,30.0
"2025-11-25_00:00_chicken,_chapathi,_limes,_spinach",2025-11-25 00:00,iddaru,"chicken, chapathi, limes, spinach",🛒 Groceries,sharath,23.0,Equal split,nikhil,23.0
2025-11-28_00:00_dosa_batter,2025-11-28 00:00,iddaru,dosa batter,🛒 Groceries,sharath,9.0,Equal split,nikhil,9.0
2025-11-28_00:00_chicken,2025-11-28 00:00,iddaru,chicken,🛒 Groceries,sharath,14.0,Equal split,nikhil,14.0
2025-11-28_00:00_india_bazaar,2025-11-28 00:00,iddaru,india bazaar,🛒 Groceries,sharath,12.0,Equal split,nikhil,12.0
2025-12-02_00:00_india_bazaar,2025-12-02 00:00,iddaru,india bazaar,🛒 Groceries,sharath,3.0,Equal split,nikhil,3.0
"2026-12-04_00:00_india_bazaar_(rice_bag_21$,4$_lok",2026-12-04 00:00,iddaru,"india bazaar (rice bag 21$,4$ loki)",🛒 Groceries,sharath,25.0,Equal split,sharath,12.5
"2026-12-04_00:00_india_bazaar_(rice_bag_21$,4$_lok",2026-12-04 00:00,iddaru,"india bazaar (rice bag 21$,4$ loki)",🛒 Groceries,sharath,25.0,Equal split,nikhil,12.5
2026-12-06_00:00_india_bazaar_(mutton_and_stuff_),2026-12-06 00:00,iddaru,india bazaar (mutton and stuff ),🛒 Groceries,sharath,55.0,Equal split,nikhil,55.0
2026-12-16_00:00_india_bazaar_(mutton_and_stuff_),2026-12-16 00:00,iddaru,india bazaar (mutton and stuff ),🛒 Groceries,sharath,23.0,Equal split,nikhil,23.0
2026-12-22_00:00_india_bazaar_(vegetables),2026-12-22 00:00,iddaru,india bazaar (vegetables),🛒 Groceries,sharath,17.0,Equal split,nikhil,17.0
2026-12-24_00:00_india_bazaar,2026-12-24 00:00,iddaru,india bazaar,🛒 Groceries,sharath,14.0,Equal split,nikhil,14.0
2026-12-29_00:00_india_bazaar_(mutton_and_stuff_),2026-12-29 00:00,iddaru,india bazaar (mutton and stuff ),🛒 Groceries,sharath,23.0,Equal split,nikhil,23.0
2026-01-01_00:00_india_bazaar,2026-01-01 00:00,iddaru,india bazaar,🛒 Groceries,sharath,5.04,Equal split,nikhil,5.04
2026-01-02_00:00_india_bazaar_roti,2026-01-02 00:00,iddaru,india bazaar roti,🛒 Groceries,sharath,7.06,Equal split,nikhil,7.06
2026-01-02_00:00_india_bazaar_chicken_and_stuff,2026-01-02 00:00,iddaru,india bazaar chicken and stuff,🛒 Groceries,sharath,26.62,Equal split,nikhil,26.62
2026-01-04_00:00_india_bazaar,2026-01-04 00:00,iddaru,india bazaar,🛒 Groceries,sharath,34.07,Equal split,nikhil,34.07
2026-01-06_00:00_india_bazaar_chicken,2026-01-06 00:00,iddaru,india bazaar chicken,🛒 Groceries,sharath,11.18,Equal split,nikhil,11.18
2026-01-08_00:00_india_bazaar_(mutton_and_stuff_)_,2026-01-08 00:00,iddaru,india bazaar (mutton and stuff ) 11$ cash and 11$ robinhood,🛒 Groceries,sharath,21.51,Equal split,nikhil,21.51
2026-01-11_00:00_india_bazaar,2026-01-11 00:00,iddaru,india bazaar,🛒 Groceries,sharath,10.48,Equal split,nikhil,10.48
2026-01-12_00:00_india_bazaar_(maggi_and_hide_n_se,2026-01-12 00:00,iddaru,india bazaar (maggi and hide n seek ),🛒 Groceries,sharath,6.58,Equal split,nikhil,6.58
2026-01-14_00:00_india_bazaar_(mutton_and_stuff_),2026-01-14 00:00,iddaru,india bazaar (mutton and stuff ),🛒 Groceries,sharath,42.0,Equal split,nikhil,42.0
2026-01-16_00:00_india_bazaar_(rice_bag_21$),2026-01-16 00:00,iddaru,india bazaar (rice bag 21$),🛒 Groceries,sharath,22.0,Equal split,sharath,11.0
2026-01-16_00:00_india_bazaar_(rice_bag_21$),2026-01-16 00:00,iddaru,india bazaar (rice bag 21$),🛒 Groceries,sharath,22.0,Equal split,nikhil,11.0
2026-01-16_00:00_india_bazaar_dosa_batter,2026-01-16 00:00,iddaru,india bazaar dosa batter,🛒 Groceries,sharath,12.0,Equal split,nikhil,12.0
2026-01-17_00:00_india_bazaar_chicken,2026-01-17 00:00,iddaru,india bazaar chicken,🛒 Groceries,sharath,8.74,Equal split,nikhil,8.74
2026-01-18_00:00_india_bazaar,2026-01-18 00:00,iddaru,india bazaar,🛒 Groceries,sharath,7.06,Equal split,nikhil,7.06
2026-01-19_00:00_india_bazaar,2026-01-19 00:00,iddaru,india bazaar,🛒 Groceries,sharath,5.0,Equal split,nikhil,5.0
"2026-01-20_00:00_india_bazaar_ghee,chicken",2026-01-20 00:00,iddaru,"india bazaar ghee,chicken",🛒 Groceries,sharath,32.18,Equal split,nikhil,32.18
"2026-01-22_00:00_india_bazaar_roti,_spinach",2026-01-22 00:00,iddaru,"india bazaar roti, spinach",🛒 Groceries,sharath,18.0,Equal split,nikhil,18.0
2026-01-24_00:00_india_bazaar,2026-01-24 00:00,iddaru,india bazaar,🛒 Groceries,sharath,4.0,Equal split,nikhil,4.0
2026-03-06_16:15_Imported_Expense,2026-03-06 16:15,iddaru,Imported Expense,🛒 Groceries,sharath,,Equal split,sharath,
2026-03-06_16:15_Imported_Expense,2026-03-06 16:15,iddaru,Imported Expense,🛒 Groceries,sharath,,Equal split,nikhil,
2026-03-06_16:15_spotify_3xMonths,2026-03-06 16:15,iddaru,spotify 3xMonths,🛒 Groceries,sharath,60.0,Equal split,sharath,30.0
2026-03-06_16:15_spotify_3xMonths,2026-03-06 16:15,iddaru,spotify 3xMonths,🛒 Groceries,sharath,60.0,Equal split,nikhil,30.0
2025-10-07_00:00_buffalo_wild_wings,2025-10-07 00:00,iddaru,buffalo wild wings,🛒 Groceries,sharath,19.0,Equal split,nikhil,19.0
2025-10-08_00:00_layered,2025-10-08 00:00,iddaru,layered,🛒 Groceries,sharath,12.0,Equal split,nikhil,12.0
2025-10-08_00:00_shell,2025-10-08 00:00,iddaru,shell,🛒 Groceries,sharath,46.0,Equal split,nikhil,46.0
2025-10-13_00:00_tiffin_hut,2025-10-13 00:00,iddaru,tiffin hut,🛒 Groceries,sharath,18.0,Equal split,nikhil,18.0
2025-10-13_00:00_foundation_café,2025-10-13 00:00,iddaru,foundation café,🛒 Groceries,sharath,14.0,Equal split,nikhil,14.0
2025-10-14_00:00_walmart_[maybe_pediasure],2025-10-14 00:00,iddaru,walmart [maybe pediasure],🛒 Groceries,sharath,14.11,Equal split,sharath,7.05
2025-10-14_00:00_walmart_[maybe_pediasure],2025-10-14 00:00,iddaru,walmart [maybe pediasure],🛒 Groceries,sharath,14.11,Equal split,nikhil,7.05
2025-10-15_00:00_layered,2025-10-15 00:00,iddaru,layered,🛒 Groceries,sharath,11.0,Equal split,nikhil,11.0
2025-10-16_00:00_hydhouse,2025-10-16 00:00,iddaru,hydhouse,🛒 Groceries,sharath,18.0,Equal split,nikhil,18.0
2025-10-16_00:00_shell,2025-10-16 00:00,iddaru,shell,🛒 Groceries,sharath,42.0,Equal split,nikhil,42.0
2025-10-18_00:00_tiffin_hut,2025-10-18 00:00,iddaru,tiffin hut,🛒 Groceries,sharath,28.0,Equal split,nikhil,28.0
2025-10-22_00:00_lululemon_jacket_partial_payment_,2025-10-22 00:00,iddaru,lululemon jacket partial payment done by me,🛒 Groceries,sharath,90.0,Equal split,sharath,45.0
2025-10-22_00:00_lululemon_jacket_partial_payment_,2025-10-22 00:00,iddaru,lululemon jacket partial payment done by me,🛒 Groceries,sharath,90.0,Equal split,nikhil,45.0
2025-10-22_00:00_hast_tag_india,2025-10-22 00:00,iddaru,hast tag india,🛒 Groceries,sharath,32.0,Equal split,sharath,16.0
2025-10-22_00:00_hast_tag_india,2025-10-22 00:00,iddaru,hast tag india,🛒 Groceries,sharath,32.0,Equal split,nikhil,16.0
2025-10-23_00:00_halal_guys,2025-10-23 00:00,iddaru,halal guys,🛒 Groceries,sharath,30.0,Equal split,nikhil,30.0
2025-10-24_00:00_layered,2025-10-24 00:00,iddaru,layered,🛒 Groceries,sharath,8.0,Equal split,nikhil,8.0
2025-10-25_00:00_uber_eats,2025-10-25 00:00,iddaru,uber eats,🛒 Groceries,sharath,19.0,Equal split,nikhil,19.0
2025-10-26_00:00_subway,2025-10-26 00:00,iddaru,subway,🛒 Groceries,sharath,19.0,Equal split,nikhil,19.0
2025-10-31_00:00_walmart_neutrogena,2025-10-31 00:00,iddaru,walmart neutrogena,🛒 Groceries,sharath,30.0,Equal split,nikhil,30.0
2025-11-01_00:00_amazon_fresh,2025-11-01 00:00,iddaru,amazon fresh,🛒 Groceries,sharath,11.0,Equal split,nikhil,11.0
2025-11-02_00:00_layered,2025-11-02 00:00,iddaru,layered,🛒 Groceries,sharath,14.0,Equal split,nikhil,14.0
2025-11-03_00:00_foundation_café,2025-11-03 00:00,iddaru,foundation café,🛒 Groceries,sharath,13.0,Equal split,nikhil,13.0
2025-11-04_00:00_trader_joe's,2025-11-04 00:00,iddaru,trader joe's,🛒 Groceries,sharath,6.0,Equal split,nikhil,6.0
2025-11-04_00:00_shell,2025-11-04 00:00,iddaru,shell,🛒 Groceries,sharath,43.0,Equal split,nikhil,43.0
2025-11-05_00:00_layered,2025-11-05 00:00,iddaru,layered,🛒 Groceries,sharath,10.0,Equal split,nikhil,10.0
2025-11-05_00:00_gmu_parking,2025-11-05 00:00,iddaru,gmu parking,🛒 Groceries,sharath,16.0,Equal split,nikhil,16.0
2025-11-05_00:00_foundation_café,2025-11-05 00:00,iddaru,foundation café,🛒 Groceries,sharath,12.0,Equal split,nikhil,12.0
2025-11-06_00:00_foundation_café,2025-11-06 00:00,iddaru,foundation café,🛒 Groceries,sharath,13.0,Equal split,nikhil,13.0
2025-11-07_00:00_layered,2025-11-07 00:00,iddaru,layered,🛒 Groceries,sharath,12.0,Equal split,nikhil,12.0
2025-11-10_00:00_desi_chowrasta,2025-11-10 00:00,iddaru,desi chowrasta,🛒 Groceries,sharath,16.0,Equal split,nikhil,16.0
2025-11-11_00:00_rasa,2025-11-11 00:00,iddaru,rasa,🛒 Groceries,sharath,35.0,Equal split,nikhil,35.0
2025-11-11_00:00_starbucks,2025-11-11 00:00,iddaru,starbucks,🛒 Groceries,sharath,10.0,Equal split,nikhil,10.0
2025-11-11_00:00_exxon_fuel,2025-11-11 00:00,iddaru,exxon fuel,🛒 Groceries,sharath,5.0,Equal split,nikhil,5.0
2025-11-12_00:00_safeway,2025-11-12 00:00,iddaru,safeway,🛒 Groceries,sharath,14.0,Equal split,nikhil,14.0
2025-11-13_00:00_desi_chowrasta,2025-11-13 00:00,iddaru,desi chowrasta,🛒 Groceries,sharath,29.0,Equal split,nikhil,29.0
2025-11-13_00:00_hertz,2025-11-13 00:00,iddaru,hertz,🛒 Groceries,sharath,125.0,Equal split,nikhil,125.0
2025-11-13_00:00_foundation_café,2025-11-13 00:00,iddaru,foundation café,🛒 Groceries,sharath,14.0,Equal split,nikhil,14.0
2025-11-13_00:00_bestbuy_sd_card_for_camera,2025-11-13 00:00,iddaru,bestbuy sd card for camera,🛒 Groceries,sharath,26.48,Equal split,sharath,13.24
2025-11-13_00:00_bestbuy_sd_card_for_camera,2025-11-13 00:00,iddaru,bestbuy sd card for camera,🛒 Groceries,sharath,26.48,Equal split,nikhil,13.24
2025-11-13_00:00_chick_fil_a,2025-11-13 00:00,iddaru,chick fil a,🛒 Groceries,sharath,22.0,Equal split,nikhil,22.0
2025-11-14_00:00_tysons_shotted,2025-11-14 00:00,iddaru,tysons shotted,🛒 Groceries,sharath,10.0,Equal split,nikhil,10.0
2025-11-16_00:00_dunkin,2025-11-16 00:00,iddaru,dunkin,🛒 Groceries,sharath,10.0,Equal split,nikhil,10.0
2025-11-17_00:00_shell,2025-11-17 00:00,iddaru,shell,🛒 Groceries,sharath,5.0,Equal split,nikhil,5.0
2025-11-26_00:00_starbucks,2025-11-26 00:00,iddaru,starbucks,🛒 Groceries,sharath,20.0,Equal split,nikhil,20.0
2026-01-14_00:00_walmart_oil_filter,2026-01-14 00:00,iddaru,walmart oil filter,🛒 Groceries,sharath,18.0,Equal split,nikhil,18.0
"2026-01-22_00:00_amazon_fresh_eggs,_bread",2026-01-22 00:00,iddaru,"amazon fresh eggs, bread",🛒 Groceries,sharath,14.21,Equal split,nikhil,14.21
2026-12-10_00:00_Toll,2026-12-10 00:00,iddaru,Toll,🛒 Groceries,sharath,11.0,Equal split,nikhil,11.0
2026-12-13_00:00_dunkin,2026-12-13 00:00,iddaru,dunkin,🛒 Groceries,sharath,4.0,Equal split,nikhil,4.0
2026-12-22_00:00_spotify,2026-12-22 00:00,iddaru,spotify,🛒 Groceries,sharath,20.0,Equal split,sharath,10.0
2026-12-22_00:00_spotify,2026-12-22 00:00,iddaru,spotify,🛒 Groceries,sharath,20.0,Equal split,nikhil,10.0
2026-01-01_00:00_1942_DC,2026-01-01 00:00,iddaru,1942 DC,🛒 Groceries,sharath,20.09,Equal split,nikhil,20.09
2026-01-01_00:00_uber_to_DC_(Sudhouse),2026-01-01 00:00,iddaru,uber to DC (Sudhouse),🛒 Groceries,sharath,40.0,Equal split,sharath,20.0
2026-01-01_00:00_uber_to_DC_(Sudhouse),2026-01-01 00:00,iddaru,uber to DC (Sudhouse),🛒 Groceries,sharath,40.0,Equal split,nikhil,20.0
2026-01-14_00:00_layered,2026-01-14 00:00,iddaru,layered,🛒 Groceries,sharath,9.0,Equal split,nikhil,9.0
2026-01-16_00:00_chateau,2026-01-16 00:00,iddaru,chateau,🛒 Groceries,sharath,8.0,Equal split,nikhil,8.0
2026-01-19_00:00_desi_chowrasta,2026-01-19 00:00,iddaru,desi chowrasta,🛒 Groceries,sharath,10.0,Equal split,nikhil,10.0
2026-01-20_00:00_layered,2026-01-20 00:00,iddaru,layered,🛒 Groceries,sharath,6.0,Equal split,nikhil,6.0
2026-01-22_00:00_spotify,2026-01-22 00:00,iddaru,spotify,🛒 Groceries,sharath,20.0,Equal split,sharath,10.0
2026-01-22_00:00_spotify,2026-01-22 00:00,iddaru,spotify,🛒 Groceries,sharath,20.0,Equal split,nikhil,10.0
2026-01-24_00:00_shake_shack,2026-01-24 00:00,iddaru,shake shack,🛒 Groceries,sharath,30.22,Equal split,nikhil,30.22
2026-01-26_00:00_eggholic,2026-01-26 00:00,iddaru,eggholic,🛒 Groceries,sharath,9.0,Equal split,nikhil,9.0
2026-01-27_00:00_chateau,2026-01-27 00:00,iddaru,chateau,🛒 Groceries,sharath,19.0,Equal split,nikhil,19.0
2026-01-28_00:00_foundation_café,2026-01-28 00:00,iddaru,foundation café,🛒 Groceries,sharath,13.0,Equal split,nikhil,13.0
2026-03-06_16:15_Imported_Expense,2026-03-06 16:15,iddaru,Imported Expense,🛒 Groceries,sharath,,Equal split,sharath,
2026-03-06_16:15_Imported_Expense,2026-03-06 16:15,iddaru,Imported Expense,🛒 Groceries,sharath,,Equal split,nikhil,
2026-03-06_16:15_Imported_Expense,2026-03-06 16:15,iddaru,Imported Expense,🛒 Groceries,sharath,,Equal split,sharath,
2026-03-06_16:15_Imported_Expense,2026-03-06 16:15,iddaru,Imported Expense,🛒 Groceries,sharath,,Equal split,nikhil,
2025-11-15_00:00_layered,2025-11-15 00:00,iddaru,layered,🛒 Groceries,sharath,4.0,Equal split,nikhil,4.0
2025-11-15_00:00_claypot_party,2025-11-15 00:00,iddaru,claypot party,🛒 Groceries,sharath,132.0,Equal split,sharath,66.0
2025-11-15_00:00_claypot_party,2025-11-15 00:00,iddaru,claypot party,🛒 Groceries,sharath,132.0,Equal split,nikhil,66.0
2025-11-17_00:00_safeway,2025-11-17 00:00,iddaru,safeway,🛒 Groceries,sharath,9.0,Equal split,nikhil,9.0
2025-11-17_00:00_shotted_galeria,2025-11-17 00:00,iddaru,shotted galeria,🛒 Groceries,sharath,14.0,Equal split,nikhil,14.0
2025-11-24_00:00_hyderabad_house,2025-11-24 00:00,iddaru,hyderabad house,🛒 Groceries,sharath,37.0,Equal split,nikhil,37.0
2025-11-25_00:00_layered,2025-11-25 00:00,iddaru,layered,🛒 Groceries,sharath,9.0,Equal split,nikhil,9.0
2025-11-26_00:00_amc,2025-11-26 00:00,iddaru,amc,🛒 Groceries,sharath,20.0,Equal split,nikhil,20.0
2025-11-25_00:00_amazon,2025-11-25 00:00,iddaru,amazon,🛒 Groceries,sharath,16.1,Equal split,sharath,8.05
2025-11-25_00:00_amazon,2025-11-25 00:00,iddaru,amazon,🛒 Groceries,sharath,16.1,Equal split,nikhil,8.05
2025-11-29_00:00_claypot,2025-11-29 00:00,iddaru,claypot,🛒 Groceries,sharath,44.0,Equal split,nikhil,44.0
2025-12-01_00:00_Safeway,2025-12-01 00:00,iddaru,Safeway,🛒 Groceries,sharath,25.0,Equal split,nikhil,25.0
2025-12-02_00:00_Nike_Hoodie,2025-12-02 00:00,iddaru,Nike Hoodie,🛒 Groceries,sharath,45.0,Equal split,nikhil,45.0
2026-12-29_00:00_costco_water_x4,2026-12-29 00:00,iddaru,costco water x4,🛒 Groceries,sharath,16.5,Equal split,nikhil,16.5
2026-12-03_00:00_shotted_galeria,2026-12-03 00:00,iddaru,shotted galeria,🛒 Groceries,sharath,9.0,Equal split,nikhil,9.0
2026-12-05_00:00_costco,2026-12-05 00:00,iddaru,costco,🛒 Groceries,sharath,62.92,Equal split,nikhil,62.92
2026-12-07_00:00_starbucks,2026-12-07 00:00,iddaru,starbucks,🛒 Groceries,sharath,6.0,Equal split,sharath,3.0
2026-12-07_00:00_starbucks,2026-12-07 00:00,iddaru,starbucks,🛒 Groceries,sharath,6.0,Equal split,nikhil,3.0
2026-12-07_00:00_hyderabad_house,2026-12-07 00:00,iddaru,hyderabad house,🛒 Groceries,sharath,46.64,Equal split,sharath,23.32
2026-12-07_00:00_hyderabad_house,2026-12-07 00:00,iddaru,hyderabad house,🛒 Groceries,sharath,46.64,Equal split,nikhil,23.32
2026-12-09_00:00_layered,2026-12-09 00:00,iddaru,layered,🛒 Groceries,sharath,11.0,Equal split,nikhil,11.0
2026-12-09_00:00_layered,2026-12-09 00:00,iddaru,layered,🛒 Groceries,sharath,16.54,Equal split,nikhil,16.54
2026-12-09_00:00_regal,2026-12-09 00:00,iddaru,regal,🛒 Groceries,sharath,19.98,Equal split,sharath,9.99
2026-12-09_00:00_regal,2026-12-09 00:00,iddaru,regal,🛒 Groceries,sharath,19.98,Equal split,nikhil,9.99
2026-12-11_00:00_chick_fil_a,2026-12-11 00:00,iddaru,chick fil a,🛒 Groceries,sharath,10.88,Equal split,sharath,5.44
